answer_to_Q1,answer_to_Q2,answer_to_Q3,answer_to_Q4,answer_to_Q5,respondent's_age,respondent's_gender,respondent's_occupation
6,4,7,Difference-honoring feminism,,22,Male,student
4,6,6,Difference-honoring feminism,,22,,student
6,3,7,Difference-honoring feminism,,24,,student
8,5,7,Difference-honoring feminism,,23,,student
8,7,7,Difference-honoring feminism,,22,,student
7,5,5,Difference-honoring feminism,,24,Female,student
4,7,8,Difference-honoring feminism,,23,,student
4,5,9,Difference-honoring feminism,,22,,student
6,6,10,Difference-honoring feminism,,22,,student
4,7,8,Difference-honoring feminism,,23,,student
